系统,版本号1,版本号2,版本号3,升级标题,升级提示,升级地址,,
ios,2,0,8,ios升级标题,ios升级提示,,,0
ios,s,$,",",Android升级提示,Android升级提示,https://www.baidu.com/,,1
ios,1,1,1,ios升级标题,ios升级提示,https://www.baidu.com/,,2
ios,,,,ios升级标题,ios升级提示,https://www.baidu.com/,,3
ios,1,,,ios升级标题,ios升级提示,https://www.baidu.com/,,4
ios,,1,,ios升级标题,ios升级提示,https://www.baidu.com/,,5
ios,,,1,ios升级标题,ios升级提示,https://www.baidu.com/,,6
ios,2,0,9,,ios升级提示,https://www.baidu.com/,,7
ios,2,0,3,Aa#$%%$154564,ios升级提示,https://www.baidu.com/,,8
ios,2,0,9,一二三四五六七八九十一二三四五六七八九十,ios升级提示,https://www.baidu.com/,,9
ios,2,0,8,ios升级标题,,https://www.baidu.com/,,10
ios,2,0,9,ios升级标题,#￥%Ad156好子,https://www.baidu.com/,,11
ios,2,0,10,ios升级标题,"一二三四五六七八九十
一二三四五六七八九十",https://www.baidu.com/,,12
ios,2,0,11,ios升级标题,ios升级提示,,,13
ios,2,0,12,ios升级标题,ios升级提示,saascasc,,14
android,1,2,3,安卓升级标题,安卓升级提示,https://www.baidu.com/,,15
